,Date,HTS Code,Description,Port of Loading,Port of Discharge,Weight,Quantity
0,Apr292024,870831,BRAKE LININGS FOR COMERCIAL VEHICLES,RIO GRANDE,"NEW ORLEANS, LA","13,457 KG",57 BOX
1,Apr292024,681381,1X20 FCL SAID TO CONTAIN 37 PALLETS COMMODITY: BRAKE LININGS INV.NO. EX1012320398 DT. 28-12-2023S/BILL NO. 6399524 DT 29-DEC-2023NET WT: 17701.824 KGS...,MUNDRA,"SAVANNAH, GA","16,860 KG",36 PKG
2,Apr292024,681381,"BRAKE LINING FOR MOTOR VEHICLE BRAKE LINING FOR MOTOR VEHICLE. HTS CODE NO. 6813.81.00 TOTAL SETS 1674, TOTAL PCS 13392 INV NO. 1501070281 DT. 13.03.2...",MUNDRA,"SAVANNAH, GA","16,847 K",16 PCS
3,Apr292024,851671,SAFETY PIN PLIER MOTOR TERMINAL SQUARE PIPE HOLDER STEERING WHEEL IN-LINE PLOWER ELECTRIC MACHINERY HATCH COVER WALL PULLEY YARN BALL WINDER NYLON ROP...,SHANGHAI,"LOS ANGELES, CA","5,098 KG",366 CTN
4,Apr282024,292229,"01X40 HC CONTAINER 830 CART ON BOXES IN 27 WOODEN PACKAGES 2.490 SETS OF BRAKE LININGS COMERCIAL INVOICE: 2024/ 5718 NET WEIGHT: 22.923,48 K G DU-E: 2...",RIO GRANDE,"NORFOLK, VA","23,423 LB",830 CTN
5,Apr282024,870831,AUTO PARTS(TRUCK BRAKE AIR DRYER HANDLE SW ITCH BRAKE LINING AIR DRYER KIT SPRING BRAKE CHAMBER),NINGPO,"SEATTLE, WA","14,010 KG",19 PAL
