Region,Buyer,Model,Model Year,Supplier,text
ASEAN・India・Korea,Honda,Accord Hybrid (Thailand),2021,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Amaze (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Honda,BR-V (Thailand),2021,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,City (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Honda,City (Thailand),2021,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,City (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Honda,Civic (Thailand),2021,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,CR-V (Thailand),2021,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,HR-V (Thailand),2021,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Jazz (Thailand),2021,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Jazz (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Americas,Honda,Odyssey (USA),2021,Toyoda Gosei Co. Ltd.,Brake booster vacuum hose
ASEAN・India・Korea,Honda,WR-V (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Hyundai,Aura (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Hyundai,Creta (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Hyundai,Elantra (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Hyundai,Tucson (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Hyundai,Venue (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Hyundai,Verna (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Hyundai,Xcent (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Isuzu,D-Max (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Isuzu,mu-X (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Isuzu,N-Series (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Kia,Carnival (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Kia,Niro EV (Korea),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Kia,Seltos (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra Bolero (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra KUV100 NXT (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra NuvoSport (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra Scorpio (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra Thar (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra XUV500 (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra Xylo (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Mazda,BT-50 (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Mazda,CX-3 (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Mazda,Mazda2 (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
China,NIO,ES8 (4WD) (China),2021,Continental Automotive Systems (Changshu) Co. Ltd.,Brake hose
China,NIO,ES8 (4WD) (China),2021,Qingdao Meiji Rubber Products Co. Ltd.,Brake hose
ASEAN・India・Korea,Nissan,Almera (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Nissan,Kicks e-POWER (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Nissan,March (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Nissan,Navara (Thailand),2021,Nichirin (Thailand) Co. Ltd.,Brake hose
Europe,Porsche,Cayenne Coupe (Slovakia),2021,Cooper-Standard Holdings Inc.,Brake line
Europe,Renault,Twingo Electric (Slovenia),2021,Hutchinson S.A.,Vacuum brake hose
China,SAIC GM Wuling,Wuling Hongguang MINI EV (China),2021,Sichuan Chuanhuan Technology Co. Ltd.,Vacuum brake hose
ASEAN・India・Korea,Suzuki,Celerio (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Suzuki,Swift (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Tata,Altroz (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Tata,Harrier (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Tata,Nexon (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Tata,Tiago (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Tata,TIGOR (India),2021,Hanil Tube India Private Ltd.,Brake line
Americas,Tesla,Model 3 (USA),2021,Flexitech Inc.,Front brake hose
Americas,Tesla,Model Y (USA),2021,Cooper-Standard Holdings Inc.,Brake line
ASEAN・India・Korea,Toyota,Fortuner (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Toyota,Hilux Revo (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Toyota,Supra (Austria),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Toyota,Vios (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Toyota,Yaris (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Toyota,Yaris ATIV (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Americas,Volkswagen,e-Delivery (Brazil),2021,Flexitech do Brasil Industria e Comercio de Mangueiras de Freios Ltda.,Brake hose
Europe,Volkswagen,ID.3 (Germany),2021,Continental AG,Front brake hose
Europe,Volkswagen,ID.4 (Germany),2021,Continental AG,Front brake hose
ASEAN・India・Korea,Volkswagen,Polo (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Volkswagen,Polo GT (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Volkswagen,Vento (India),2021,Hanil Tube India Private Ltd.,Brake line
Europe,Volvo Cars,Volvo C40 Recharge (Belgium),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-Benz GLA (Germany),2020,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-Benz S-Class (Germany),2020,A. Kayser Automotive Systems GmbH,Vacuum brake booster line
Europe,Daimler,Mercedes-Benz S-Class (Germany),2020,Continental AG,Brake hose
Americas,Ford,Explorer (USA),2020,Martinrea International Inc.,Brake line
Europe,Ford,Kuga (Spain),2020,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,GM,Chevrolet Onix Plus (Brazil),2020,Cooper-Standard Holdings Inc.,Vacuum hose
ASEAN・India・Korea,Honda,Accord (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Accord Hybrid (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,BR-V (India),2020,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Honda,BR-V (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,City (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Civic (India),2020,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Honda,Civic (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,CR-V (India),2020,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Honda,CR-V (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,HR-V (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Jazz (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Mobilio (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Kia,Seltos (India),2020,Cooper Standard Automotive India Pvt. Ltd.,Brake line
ASEAN・India・Korea,Kia,Seltos (India),2020,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra TUV300 (India),2020,Hanil Tube India Private Ltd.,Brake line
Europe,Nissan,Juke (UK),2020,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Nissan,Navara (Thailand),2020,Nichirin (Thailand) Co. Ltd.,Brake hose
Europe,Opel,Grandland X (Germany),2020,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line bundle assembly
Europe,Peugeot,2008 (Spain),2020,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,SEAT,Leon (Spain),2020,A. Kayser Automotive Systems GmbH,Vacuum hose
Europe,Toyota,Yaris (France),2020,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Volkswagen,Golf (Germany),2020,A. Kayser Automotive Systems GmbH,Vacuum hose
Europe,Volkswagen,Golf (Germany),2020,Continental AG,Brake hose
Europe,Volkswagen,Polo (Spain),2020,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Volkswagen,Tiguan (India),2020,Hanil Tube India Private Ltd.,Brake line
Europe,Daimler,Mercedes-Benz EQC (Germany),2019,Continental AG,Brake hose
Americas,Ford,Ranger (USA),2019,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,GM,Chevrolet Silverado (USA),2019,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Maruti Suzuki,Ertiga (India),2019,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Peugeot,5008 (France),2019,Flexitech Inc.,Front brake hose
ASEAN・India・Korea,Renault,Captur (India),2019,Hanil Tube India Private Ltd.,Brake line
Europe,SEAT,Tarraco (Germany),2019,A. Kayser Automotive Systems GmbH,Vacuum hose
Europe,Skoda,Kamiq (Czech Republic),2019,Continental AG,Brake hose
China,Tesla China,Tesla Model 3 (RR) (China),2019,Hitachi Cable (Suzhou) Co. Ltd.,Vacuum brake hose
China,Tesla China,Tesla Model 3 (RR) (China),2019,TI Automotive Systems (Shanghai) Co. Ltd. (Waigaoqiao Plant),Vacuum brake hose
Europe,Audi,A5 (Germany),2018,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Audi,Q8 (Slovakia),2018,Continental AG,Brake hose
ASEAN・India・Korea,BMW,X3 (India),2018,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-Benz G-Class (Austria),2018,Continental AG,Brake hose
ASEAN・India・Korea,Honda,BR-V (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Honda,Brio (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Honda,CR-V (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Honda,HR-V (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Honda,Jazz (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Honda,Mobilio (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Hyundai,Creta (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Hyundai,Elantra (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Hyundai,Elite i20 (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Hyundai,Eon (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Hyundai,i20 Active (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Hyundai,Xcent (India),2018,Imperial Auto Industries Ltd.,Brake hose
Americas,Jeep,Wrangler (USA),2018,Flexitech Inc.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra Bolero (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra Bolero Power + (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra KUV100 NXT (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra NuvoSport (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra Scorpio (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra Thar (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra TUV300 (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra XUV500 (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Mahindra Xylo (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Alto 800 (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Alto K10 (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Baleno (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Celerio (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Celerio X (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Ciaz (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Dzire (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Ertiga (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Gypsy (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Ignis (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Omni (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,S-Cross (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Swift (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Vitara Brezza (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Wagon R (India),2018,Imperial Auto Industries Ltd.,Brake hose
China,NIO,ES8 (China),2018,Continental Automotive Systems (Changshu) Co. Ltd.,Brake hose
ASEAN・India・Korea,Nissan,Grand Livina (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Nissan,Juke (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
Japan,Nissan,Leaf,2018,Nichirin Co. Ltd.,Brake hose
ASEAN・India・Korea,Nissan,Micra Active (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Nissan,Serena (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Nissan,Sunny (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Nissan,Terrano (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Nissan,X-Trail (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Suzuki,APV (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Suzuki,Carry (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Suzuki,Ertiga (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Suzuki,Wagon R (Indonesia),2018,P.T. Nichirin Indonesia,Brake hose
ASEAN・India・Korea,Tata,GenX Nano (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Tata,Hexa (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Tata,Indica (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Tata,Indigo (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Tata,Nexon (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Tata,Safari Storme (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Tata,Sumo Gold (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Tata,Tiago (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Tata,TIGOR (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Tata,Zest (India),2018,Imperial Auto Industries Ltd.,Brake hose
Americas,Tesla,Model 3 (USA),2018,Cooper-Standard Holdings Inc.,Brake line
ASEAN・India・Korea,Toyota,Camry (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Corolla Altis (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Etios Cross (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Etios Liva (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Fortuner (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Innova Crysta (India),2018,Imperial Auto Industries Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Platinum Etios (India),2018,Imperial Auto Industries Ltd.,Brake hose
Europe,Volkswagen,Touareg (Slovakia),2018,Continental AG,Brake hose
Europe,Alfa Romeo,Stelvio (Italy),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Bentley,Continental GT (UK),2017,Continental AG,Brake hose
Europe,Bentley,Continental GT (UK),2017,FTE automotive GmbH,Brake hose
Americas,BMW,X3 (USA),2017,Flexitech Inc.,Front brake hose
Americas,BMW,X3 (USA),2017,Flexitech Inc.,Rear brake hose
Americas,BMW,X3 (USA),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Chrysler,Pacifica (Canada),2017,Hitachi Astemo Americas Inc. (Formerly  Hitachi Automotive Systems Americas Inc.),Brake hose
Europe,Daimler,Mercedes-Benz E-Class (Germany),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-AMG GT Roadster (Germany),2017,A. Kayser Automotive Systems GmbH,Vacuum hose
Europe,Daimler,Mercedes-AMG GT Roadster (Germany),2017,Continental AG,Brake hose
China,FAW Toyota,Toyota Prius (China),2017,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
Americas,Ford,Expedition (USA),2017,Cooper-Standard Holdings Inc.,Brake line
Americas,Ford,Expedition (USA),2017,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Front and rear brake hose assembly
China,GAC Honda,Honda Accord (FF) (China),2017,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
China,GAC Honda,Honda Crider (FF) (China),2017,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
China,GAC Toyota,Toyota Camry (FF) (China),2017,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
China,GAC Toyota,Toyota E'Z (FF) (China),2017,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
China,GAC Toyota,Toyota Highlander (FF) (China),2017,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
China,GAC Toyota,Toyota Levin (FF) (China),2017,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
China,GAC Toyota,Toyota YARiS L (FF) (China),2017,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
Americas,GM,Buick Enclave (USA),2017,Cooper-Standard Holdings Inc.,Brake line
Americas,GM,GMC Terrain (Mexico),2017,Cooper-Standard Holdings Inc.,Brake line
Americas,GM,Chevrolet Traverse (USA),2017,Cooper-Standard Holdings Inc.,Brake line
Americas,Honda,Accord (USA),2017,Cooper-Standard Holdings Inc.,Brake line
Americas,Honda,Accord (USA),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Booster line
Americas,Jeep,Cherokee (USA),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Jeep,Compass (Mexico),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Jeep,Wrangler Unlimited (USA),2017,Flexitech Inc.,Front brake hose
Americas,Jeep,Wrangler Unlimited (USA),2017,Flexitech Inc.,Rear brake hose
Americas,Jeep,Wrangler Unlimited (USA),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Mitsubishi,Eclipse Cross,2017,Nichirin Co. Ltd.,Brake hose
Japan,Nissan,Skyline,2017,Nichirin Co. Ltd.,Brake hose
Americas,Nissan,Versa (Mexico),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Porsche,Cayenne (Germany),2017,FTE automotive GmbH,Brake line
Europe,Skoda,Karoq (Czech Republic),2017,Continental AG,Brake hose
Americas,Tesla,Model 3 (USA),2017,Flexitech Inc.,Front brake hose
Americas,Tesla,Model 3 (USA),2017,Flexitech Inc.,Rear brake hose
Americas,Toyota,Camry (USA),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Volkswagen,Arteon (Germany),2017,Continental AG,Brake hose
Europe,Volkswagen,Arteon (Germany),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Volkswagen,Atlas (USA),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Volkswagen,Polo (Spain),2017,A. Kayser Automotive Systems GmbH,Vacuum brake line
Europe,Volkswagen,T-Roc (Portugal),2017,A. Kayser Automotive Systems GmbH,Vacuum brake hose
Europe,Volkswagen,T-Roc (Portugal),2017,Continental AG,Brake hose
Europe,Volkswagen,T-Roc (Portugal),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Volvo Cars,Volvo XC40 (Belgium),2017,Continental AG,Brake hose
Europe,Volvo Cars,Volvo XC60 (Sweden),2017,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Audi,A5 Coupe (Germany),2016,A. Kayser Automotive Systems GmbH,Vacuum hose
Europe,Audi,A5 Coupe (Germany),2016,FTE automotive GmbH,Front brake hose
Europe,Audi,A5 Coupe (Germany),2016,FTE automotive GmbH,Rear brake hose
Europe,Audi,Q2 (Germany),2016,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Audi,Q5 (Germany),2016,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Audi,Q7 (Slovakia),2016,Flexitech Europe SAS,Front brake hose
Europe,Bentley,Bentayga (UK),2016,A. Kayser Automotive Systems GmbH,Vacuum hose
Europe,BMW,MINI Countryman (Austria),2016,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Chrysler,Pacifica (Canada),2016,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Chrysler,Town & Country (Canada),2016,TI Automotive LLC,Brake line
Japan,Daihatsu,Atrai Wagon,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Cast Activa,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Cast Activa G Turbo,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Cast Sport,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Cast Style,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Cast Style G Turbo,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Mira,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Mira Cocoa,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Mira e:S,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Move,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Move Canbus,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Move Conte,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Move Conte Custom RS,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Move Custom RS,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Tanto,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Tanto Custom RS,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Wake,2016,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Daihatsu,Wake G Turbo,2016,Toyoda Gosei Co. Ltd.,Brake hose
Europe,Daimler,Mercedes-Benz E-Class (Germany),2016,Continental AG,Brake hoses
Europe,Daimler,Mercedes-Benz E-Class (Germany),2016,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Ferrari,488 Spider (Italy),2016,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Fiat,500X (Italy),2016,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Fiat,Tipo (Turkey),2016,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Ford,Lincoln Continental (USA),2016,Cooper-Standard Holdings Inc.,Vacuum brake line
Americas,Ford,F-250 Super Duty (USA),2016,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose
Americas,Ford,F-350 Super Duty (USA),2016,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose
Americas,Ford,F-450 Super Duty (USA),2016,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose
