,Date,HTS Code,Description,Port of Loading,Port of Discharge,Weight,Quantity
0,Apr292024,650100,RADIATOR HOSE BONNET STAY AIR FILTER ARMREST LID WATERPROOF COVER FLUSHER FUEL PUMP SLEEVE FIX TOOL DIPSTICK CLUTCH SLAVE HOOD LATCH BAND CLAMP HOOD C...,YANTIAN,"LOS ANGELES, CA","1,574 KG",136 CTN
1,Apr292024,611512,"WATER HOSE, FUEL PUMP TANK SEAL, INTERCOOLER HOSE, BREATHER HOSE, WATER PIPE CLIP, TURBO GASKET, FUEL PIPE ASSEMBLY, RADIATOR HOSE, COOLING HOSE, TURB...",BREMERHAVEN,"NEW YORK, NY",772 K,42 PKG
2,Apr292024,842123,OIL CATCH OIL CATCH NBR FUEL LINE HOSE NBR FUEL LINE HOSE OIL HOSE FITTING FUEL PUMP OIL COOLER KIT ENGINECOOLANTRESERVOIR BRACKET SILICA GEL TUBE...,NINGPO,"OAKLAND, CA","2,943 KG",213 CTN
3,Apr292024,841330,SICKLE SECTION O RINGO DEF FILTER FOAM CLEVISPIN LOWER RADIATOR HOSE FUEL LINE HEX SOCKET SCREW AIR CONDITIONER HARNESS SEAL DOUBLE GE AR SYNCHRO UNIT...,SHANGHAI,"LOS ANGELES, CA","1,369 KG",22 CTN
4,Apr282024,400931,HOSE. FUEL PURGEPO T124784 J5341HS CODE 4009.31.91HOSE. FUEL PURGEPO T124784 J5341HS CODE 4009.31.91,SINGAPORE,"SAVANNAH, GA","6,726 KG","1,482 PKG"
5,Apr282024,391722,BRAND NEW SPARE PARTS FOR AUTOMOTIVE WORLD PAC INV NO SIWPC20242624 2627 PURGE VALVE WINDOW WIPER BLADE WINDOW WIPER BLADE WINDOW WIPER BLADE A C HOSE...,JEBEL ALI,"OAKLAND, CA",149 K,3 PKG
6,Apr272024,401699,BLOWER MOTOR BRACKET CLUTCH CLUTCH MASTER CYLINDER CONTROL ARM FUEL TANK STRAP HEADLIGHT HEATER HOSE MOTOR MOUNT OIL PAN OUTSIDE MIRRORPANEL MOLDING T...,NINGPO,"NEW YORK/NEWARK AREA, NEWARK, NJ","6,181 K",884 PKG
