Region,Buyer,Supplier,Specific Part Name
China,FAW Toyota,Tianjin Maruyasu Pipeline Systems Co. Ltd.,Brake hose
China,SAIC GM Wuling,Sichuan Chuanhuan Technology Co. Ltd.,Vacuum brake hose
Europe,Fiat,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Brake hose
Europe,Volkswagen,A. Kayser Automotive Systems GmbH,Vacuum hose
Americas,Ford,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose
Americas,GM,TI Automotive USA (Ashley Indiana),Brake line
Americas,GM,Cooper-Standard Holdings Inc.,Brake hose
Japan,Nissan,Hitachi Astemo Ltd. (Formerly Hitachi Automotive Systems Ltd.),Rear brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
Americas,Toyota,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Citroen,Flexitech Europe SAS,Front brake hose
Americas,Jeep,TI Automotive Fluid Carrying Systems (Mexico City),Brake line
Americas,Tesla,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose assembly
Japan,Mitsubishi,Toyoda Gosei Co. Ltd.,Brake hose
Europe,Fiat,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Front brake hose
China,GAC Honda,Nichirin Co. Ltd.,Hydraulic brake hose
Japan,Mazda,Toyoda Gosei Co. Ltd.,Brake hose
ASEAN・India・Korea,Kia,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Kia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Japan,Mazda,Toyoda Gosei Co. Ltd.,Vacuum brake hose
Europe,Citroen,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Ford,Martinrea International Inc.,Brake line
Europe,Mitsubishi,Federal-Mogul Holdings LLC,Brake hose
Japan,Suzuki,Toyoda Gosei Co. Ltd.,Brake hose
Europe,Jaguar Land Rover,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake booster line
Europe,Audi,Cooper-Standard Holdings Inc.,Brake line
Americas,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Ford,TI Automotive USA (Ashley Indiana),Brake line
Europe,Jaguar Land Rover,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Peugeot,Hutchinson S.A.,Brake hose
Europe,Renault,Cikautxo S. Coop.,Brake hose
Americas,Honda,Toyoda Gosei Co. Ltd.,Brake booster vacuum hose
ASEAN・India・Korea,Honda,Hanil Tube India Private Ltd.,Brake line
Americas,GM,Flexitech Inc.,Brake hose assembly
Europe,Tesla,Martinrea Bergneustadt GmbH (Formerly Metalsa - Bergneustadt Plant),Brake line
Europe,Skoda,Cooper-Standard Holdings Inc.,Brake hose
Americas,GM,Atlas Fluid Systems,Brake line
Americas,BMW,Flexitech Inc.,Brake hoses
Europe,Peugeot,Hutchinson S.A.,Front brake hose
Europe,Audi,Flexitech Inc.,Brake hose
Americas,GM,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Hyundai,Hanil Tube India Private Ltd.,Brake line
Europe,Audi,Continental AG,Brake hose
ASEAN・India・Korea,Hyundai,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
China,IM Motors,Bundy Fluid Systems (Shanghai) Co. Ltd.,Brake line
Europe,Audi,Continental AG,Front brake hose
Americas,Daimler,Continental AG,Brake hose
Europe,Daimler,Flexitech Inc.,Brake hose
Americas,Tesla,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Vacuum brake hose
Europe,Volvo Cars,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Mitsubishi,Sankyo Gum Co. Ltd.,Brake hose
Europe,Daimler,Continental AG,Brake hose
Americas,GM,Cooper-Standard Holdings Inc.,Brake line
Europe,Opel,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(2.0L)(E-CVT)
ASEAN・India・Korea,Mazda,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Porsche,Cooper-Standard Holdings Inc.,Brake line
China,Beijing Hyundai,Hwaseung Automotive Parts (Taicang) Co. Ltd.,Hydraulic brake hose
Europe,BMW,Flexitech Europe SAS,Brake hose assembly
Japan,Toyota,Sanoh Industrial Co. Ltd.,Brake hose
ASEAN・India・Korea,Tata,Hanil Tube India Private Ltd.,Brake line
Europe,Fiat,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Rigid brake line
Europe,Volkswagen,A. Kayser Automotive Systems GmbH,Vacuum brake hose
Europe,Daimler,A. Kayser Automotive Systems GmbH,Vacuum brake line
Americas,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Bentley,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Peugeot,Flexitech Inc.,Brake hose
Europe,Saab,Cooper-Standard Holdings Inc.,Brake line
Europe,Citroen,Hutchinson S.A.,Rear brake hose
Europe,Porsche,Continental AG,Brake hose
Americas,Nissan,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose assembly
China,GAC Motor,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(2.0L)(6AT)
Japan,Honda,Toyoda Gosei Co. Ltd.,Brake hose
Europe,Peugeot,Freudenberg SE,Brake hose
Europe,DS Automobiles,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line bundle assembly
Europe,Peugeot,Flexitech Inc.,Front brake hose
Americas,Dodge,Flexitech Inc.,Rear brake hose
Europe,Skoda,Cooper-Standard Holdings Inc.,Brake line
Americas,Volkswagen,TI Automotive LLC,Brake line
Americas,Mitsubishi,Meiji Flow Systems Co. Ltd.,Brake hose
Europe,Daimler,Freudenberg SE,Brake hose
ASEAN・India・Korea,Hyundai,Imperial Auto Industries Ltd.,Brake hose
Americas,Volkswagen,A. Kayser Automotive Systems GmbH,Vacuum hose
ASEAN・India・Korea,Toyota,Inoac Tokai (Thailand) Co. Ltd.,Vacuum hose
Americas,Daimler,TI Automotive USA (Cartersville Georgia),Brake line
China,Dongfeng Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
ASEAN・India・Korea,Nissan,P.T. Nichirin Indonesia,Brake hose
Americas,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Jeep,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
China,Tesla China,TI Automotive Systems (Shanghai) Co. Ltd. (Waigaoqiao Plant),Vacuum brake hose
Americas,GM,Martinrea International Inc.,Brake hose
Europe,BMW,Flexitech Europe SAS,Brake hose
Europe,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
China,Dongfeng Peugeot Citroen,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.2T)(6DCT)
Europe,Toyota,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
ASEAN・India・Korea,Maruti Suzuki,Imperial Auto Industries Ltd.,Brake hose
Americas,Volvo Cars,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Mitsubishi,Nichirin Co. Ltd.,Brake hose
ASEAN・India・Korea,Tata,Imperial Auto Industries Ltd.,Brake hose
Europe,BMW,Veritas AG,Vacuum hose
Europe,Nissan,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Mazda,Nichirin Co. Ltd.,Brake hose
Europe,Peugeot,Cooper-Standard Holdings Inc.,Brake line assembly
