Region,Buyer,Supplier,Specific Part Name
Americas,GM,Nichirin Vietnam Co. Ltd.,Brake hose
Europe,Renault,Freudenberg SE,Brake hose
Europe,Volkswagen,Hutchinson S.A.,Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5T)(CVT)
Europe,Volvo Cars,Hutchinson S.A.,Rear brake hose
Americas,Dodge,Cooper-Standard Holdings Inc.,Brake line
Europe,SEAT,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Rivian,TI Automotive LLC,Brake line
ASEAN・India・Korea,Toyota,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
Europe,Volkswagen,Continental AG,Brake hose
Europe,Audi,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Toyota,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Peugeot,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Volkswagen,Continental AG,Front brake hose
Europe,Alfa Romeo,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,BMW,FTE automotive GmbH,Brake hose
Europe,Opel,Cooper-Standard Holdings Inc.,Brake hose
Americas,Ford,Martinrea Slovakia Fluid Systems s.r.o.,Brake line
Europe,BMW,FTE automotive GmbH,Brake hose pipe
Europe,Porsche,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
China,Dongfeng Nissan,Nichirin Co. Ltd.,Hydraulic brake hose
Americas,Chrysler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Daimler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Mazda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Lancia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Volkswagen,Cooper-Standard Holdings Inc.,Brake hose
ASEAN・India・Korea,Suzuki,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Japan,Suzuki,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Renault,Cooper-Standard Holdings Inc.,Brake hose
Americas,Honda,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Booster line
Europe,Fiat,Teklas Kaucuk San. Ve Tic. A.S.,Brake hose
Europe,Nissan,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,GM,Flexitech Inc.,Rear brake hose
ASEAN・India・Korea,Hyundai,Pyung Hwa India Pvt. Ltd.,Brake booster vacuum hose
ASEAN・India・Korea,Ford,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Japan,Subaru,Nichirin Co. Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Americas,Chrysler,Hitachi Astemo Americas Inc. (Formerly  Hitachi Automotive Systems Americas Inc.),Brake hose
Europe,Volkswagen,Flexitech Inc.,Brake hose
China,Beijing Hyundai,Tianjin Pyung Hwa Auto Parts Co. Ltd.,Vaccum brake hose
ASEAN・India・Korea,Isuzu,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Fiat,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Honda,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
ASEAN・India・Korea,Tata,Rane Brake Lining Ltd.,Brake Lining [Front & Rear]
ASEAN・India・Korea,Toyota,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
Americas,Ram Trucks,Cooper Standard Automotive FHS S. de R.L. de C.V. - Saltillo,Vacuum brake line
Europe,Opel,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Vacuum brake booster line
Americas,Volkswagen,Flexitech Inc.,Brake hose assembly
Americas,Kia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Maserati,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
China,GAC Honda,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
ASEAN・India・Korea,Nissan,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
ASEAN・India・Korea,Maruti Suzuki,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
ASEAN・India・Korea,GM,Bosch (Robert Bosch GmbH),Brake booster vacuum hose(1.4T)
Americas,BMW,Flexitech Inc.,Rear brake hose
Americas,Mercedes-Benz,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Chrysler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Porsche,DELFINGEN DE-Aschheim GmbH (Formerly Schlemmer Holding GmbH),Vacuum hose
Europe,Porsche,Metzeler Schaum GmbH (Vita Metzo),Brake line
ASEAN・India・Korea,Suzuki,P.T. Nichirin Indonesia,Brake hose
Americas,Ford,HC Queretaro S.A. de C.V.,Brake hose
ASEAN・India・Korea,Mitsubishi,Sankyo Co. Ltd.,Brake hose
Europe,Opel,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Daimler,Cooper-Standard Holdings Inc.,Vacuum brake line
Americas,Ford,Flexitech Inc.,Brake hose
Japan,Toyota,Toyoda Gosei Co. Ltd.,Rear brake hose
Europe,Skoda,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Citroen,Hutchinson S.A.,Brake hose
Americas,Tesla,Flexitech Inc.,Rear brake hose
Europe,Mitsubishi,Freudenberg SE,Brake hose
Americas,Dodge,Flexitech Inc.,Brake hose
China,FAW Toyota,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
Americas,Dodge,Flexitech Inc.,Front brake hose
Europe,Citroen,Flexitech Inc.,Brake hose
Americas,Toyota,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,BMW,Veritas AG,Vacuum brake line
Japan,Mitsubishi,Meiji Flow Systems Co. Ltd.,Brake hose
China,FAW-Volkswagen,Changchun Chinaust Automobile Parts Co. Ltd.,Vacuum hose
Americas,BMW,Flexitech Inc.,Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5T)(6MT)
